run_id,planner,scenario,sample_index,elapsed_s,x,y,yaw_rad
20260429_021612_712,astar,open_world,1,0.156,4.9731,11.9278,1.64054
20260429_021612_712,astar,open_world,2,0.291,4.9727,11.9347,1.64054
20260429_021612_712,astar,open_world,3,0.415,4.9722,11.9415,1.64057
20260429_021612_712,astar,open_world,4,0.538,4.9717,11.9484,1.64067
20260429_021612_712,astar,open_world,5,0.665,4.9712,11.9552,1.64106
20260429_021612_712,astar,open_world,6,0.791,4.9707,11.9621,1.64057
20260429_021612_712,astar,open_world,7,0.91,4.9703,11.9689,1.64057
20260429_021613_742,astar,open_world,0,0.005,4.9698,11.9758,1.64057
20260429_021613_742,astar,open_world,1,0.129,4.9693,11.9826,1.64057
20260429_021613_742,astar,open_world,2,0.247,4.9688,11.9895,1.64057
20260429_021613_742,astar,open_world,3,0.371,4.9683,11.9963,1.64057
20260429_021613_742,astar,open_world,4,0.5,4.9679,12.0031,1.6406
20260429_021613_742,astar,open_world,5,0.622,4.9674,12.01,1.64074
20260429_021613_742,astar,open_world,6,0.745,4.9669,12.0169,1.64061
20260429_021613_742,astar,open_world,7,0.869,4.9664,12.0237,1.64061
20260429_021613_742,astar,open_world,8,0.993,4.966,12.0305,1.64061
20260429_021614_761,astar,open_world,0,0.015,4.9658,12.0326,1.64061
20260429_021614_761,astar,open_world,1,0.135,4.9653,12.0394,1.64061
20260429_021614_761,astar,open_world,2,0.253,4.9649,12.0463,1.64062
20260429_021614_761,astar,open_world,3,0.372,4.9644,12.0531,1.64068
20260429_021614_761,astar,open_world,4,0.494,4.9639,12.06,1.64063
20260429_021614_761,astar,open_world,5,0.617,4.9634,12.0669,1.64064
20260429_021614_761,astar,open_world,6,0.735,4.9629,12.0737,1.64064
20260429_021614_761,astar,open_world,7,0.865,4.9625,12.0806,1.64064
20260429_021614_761,astar,open_world,8,0.985,4.962,12.0874,1.64064
20260429_021615_792,astar,open_world,0,0.041,4.9616,12.0922,1.64067
20260429_021615_792,astar,open_world,1,0.165,4.9612,12.099,1.64067
20260429_021615_792,astar,open_world,2,0.291,4.9607,12.1059,1.64064
20260429_021615_792,astar,open_world,3,0.413,4.9602,12.1127,1.64063
20260429_021615_792,astar,open_world,4,0.539,4.9597,12.1195,1.64063
20260429_021615_792,astar,open_world,5,0.662,4.9592,12.1263,1.64063
20260429_021615_792,astar,open_world,6,0.783,4.9588,12.1332,1.64064
20260429_021615_792,astar,open_world,7,0.904,4.9583,12.14,1.64066
20260429_021615_792,astar,open_world,8,1.023,4.9578,12.147,1.64066
20260429_021616_822,astar,open_world,0,0.038,4.9577,12.149,1.64065
20260429_021616_822,astar,open_world,1,0.156,4.9572,12.1558,1.64066
20260429_021616_822,astar,open_world,2,0.275,4.9567,12.1627,1.64066
20260429_021616_822,astar,open_world,3,0.396,4.9562,12.1695,1.64066
20260429_021616_822,astar,open_world,4,0.521,4.9557,12.1764,1.64066
20260429_021616_822,astar,open_world,5,0.642,4.9553,12.1832,1.6407
20260429_021616_822,astar,open_world,6,0.761,4.9548,12.19,1.64086
20260429_021616_822,astar,open_world,7,0.881,4.9543,12.1969,1.64068
20260429_021616_822,astar,open_world,8,1.006,4.9538,12.2037,1.64068
20260429_021617_852,astar,open_world,0,0.022,4.9537,12.2058,1.64068
20260429_021617_852,astar,open_world,1,0.149,4.9532,12.2126,1.64068
20260429_021617_852,astar,open_world,2,0.273,4.9527,12.2194,1.64068
20260429_021617_852,astar,open_world,3,0.396,4.9523,12.2263,1.64068
20260429_021617_852,astar,open_world,4,0.522,4.9518,12.2331,1.64067
20260429_021617_852,astar,open_world,5,0.644,4.9513,12.2399,1.64068
20260429_021617_852,astar,open_world,6,0.762,4.9508,12.2467,1.64069
20260429_021617_852,astar,open_world,7,0.884,4.9503,12.2536,1.64134
20260429_021617_852,astar,open_world,8,1.007,4.9499,12.2604,1.64144
20260429_021618_882,astar,open_world,0,0.016,4.9497,12.2632,1.64116
20260429_021618_882,astar,open_world,1,0.138,4.9492,12.27,1.64069
20260429_021618_882,astar,open_world,2,0.261,4.9487,12.2768,1.64069
20260429_021618_882,astar,open_world,3,0.384,4.9482,12.2836,1.6407
20260429_021618_882,astar,open_world,4,0.508,4.9477,12.2905,1.6407
20260429_021618_882,astar,open_world,5,0.632,4.9473,12.2973,1.64069
20260429_021618_882,astar,open_world,6,0.75,4.9468,12.3042,1.64072
20260429_021618_882,astar,open_world,7,0.873,4.9463,12.311,1.64086
20260429_021618_882,astar,open_world,8,0.999,4.9458,12.3178,1.64073
20260429_021619_911,astar,open_world,0,0.012,4.9457,12.3199,1.64071
20260429_021619_911,astar,open_world,1,0.137,4.9452,12.3267,1.64071
20260429_021619_911,astar,open_world,2,0.26,4.9447,12.3335,1.64071
20260429_021619_911,astar,open_world,3,0.385,4.9443,12.3403,1.64071
20260429_021619_911,astar,open_world,4,0.508,4.9438,12.3472,1.64071
20260429_021619_911,astar,open_world,5,0.632,4.9433,12.354,1.64071
20260429_021619_911,astar,open_world,6,0.754,4.9428,12.3609,1.64075
20260429_021619_911,astar,open_world,7,0.873,4.9423,12.3677,1.641
20260429_021619_911,astar,open_world,8,1.001,4.9419,12.3745,1.6408
20260429_021620_942,astar,open_world,0,0.014,4.9417,12.3766,1.64075
20260429_021620_942,astar,open_world,1,0.131,4.9412,12.3834,1.64073
20260429_021620_942,astar,open_world,2,0.25,4.9408,12.3902,1.64073
20260429_021620_942,astar,open_world,3,0.375,4.9403,12.3971,1.64073
20260429_021620_942,astar,open_world,4,0.502,4.9398,12.4039,1.64073
20260429_021620_942,astar,open_world,5,0.621,4.9393,12.4107,1.64073
20260429_021620_942,astar,open_world,6,0.741,4.9388,12.4175,1.64074
20260429_021620_942,astar,open_world,7,0.867,4.9384,12.4244,1.64073
20260429_021620_942,astar,open_world,8,0.996,4.9379,12.4312,1.64087
20260429_021621_962,astar,open_world,0,0.019,4.9377,12.434,1.64076
20260429_021621_962,astar,open_world,1,0.143,4.9372,12.4408,1.64075
20260429_021621_962,astar,open_world,2,0.273,4.9367,12.4476,1.64075
20260429_021621_962,astar,open_world,3,0.399,4.9363,12.4545,1.64075
20260429_021621_962,astar,open_world,4,0.517,4.9358,12.4613,1.64075
20260429_021621_962,astar,open_world,5,0.647,4.9353,12.4681,1.64074
20260429_021621_962,astar,open_world,6,0.772,4.9348,12.4749,1.64077
20260429_021621_962,astar,open_world,7,0.895,4.9343,12.4818,1.64091
20260429_021621_962,astar,open_world,8,1.015,4.9339,12.4886,1.64085
20260429_021622_991,astar,open_world,0,0.025,4.9337,12.4907,1.6408
20260429_021622_991,astar,open_world,1,0.156,4.9332,12.4976,1.6408
20260429_021622_991,astar,open_world,2,0.292,4.9328,12.5045,1.64083
20260429_021622_991,astar,open_world,3,0.42,4.9323,12.5113,1.64081
20260429_021622_991,astar,open_world,4,0.555,4.9318,12.5182,1.6408
20260429_021622_991,astar,open_world,5,0.682,4.9313,12.525,1.6408
20260429_021622_991,astar,open_world,6,0.804,4.9308,12.5318,1.6408
20260429_021622_991,astar,open_world,7,0.929,4.9304,12.5386,1.6408
20260429_021624_022,astar,open_world,0,0.026,4.9299,12.5454,1.64079
20260429_021624_022,astar,open_world,1,0.155,4.9294,12.5523,1.64097
20260429_021624_022,astar,open_world,2,0.287,4.9289,12.5591,1.64169
20260429_021624_022,astar,open_world,3,0.42,4.9284,12.5659,1.64124
20260429_021624_022,astar,open_world,4,0.551,4.928,12.5728,1.64082
20260429_021624_022,astar,open_world,5,0.695,4.9275,12.5796,1.64082
20260429_021624_022,astar,open_world,6,0.832,4.927,12.5864,1.64082
20260429_021624_022,astar,open_world,7,0.956,4.9265,12.5933,1.64105
20260429_021625_052,astar,open_world,0,0.008,4.9262,12.598,1.64129
20260429_021625_052,astar,open_world,1,0.134,4.9257,12.6049,1.64084
20260429_021625_052,astar,open_world,2,0.263,4.9252,12.6117,1.64083
20260429_021625_052,astar,open_world,3,0.385,4.9247,12.6185,1.64083
20260429_021625_052,astar,open_world,4,0.502,4.9243,12.6254,1.64083
20260429_021625_052,astar,open_world,5,0.627,4.9238,12.6322,1.64084
20260429_021625_052,astar,open_world,6,0.759,4.9233,12.6391,1.64084
20260429_021625_052,astar,open_world,7,0.886,4.9228,12.6459,1.64091
20260429_021626_072,astar,open_world,0,0.001,4.9223,12.6527,1.64136
20260429_021626_072,astar,open_world,1,0.137,4.9219,12.6596,1.6409
20260429_021626_072,astar,open_world,2,0.269,4.9214,12.6664,1.64086
20260429_021626_072,astar,open_world,3,0.398,4.9209,12.6732,1.64086
20260429_021626_072,astar,open_world,4,0.519,4.9204,12.6801,1.64086
20260429_021626_072,astar,open_world,5,0.646,4.9199,12.6869,1.64085
20260429_021626_072,astar,open_world,6,0.78,4.9195,12.6937,1.64093
20260429_021626_072,astar,open_world,7,0.911,4.919,12.7006,1.64176
20260429_021627_102,astar,open_world,0,0.016,4.9185,12.7074,1.64186
20260429_021627_102,astar,open_world,1,0.151,4.918,12.7142,1.64116
20260429_021627_102,astar,open_world,2,0.288,4.9175,12.721,1.64087
20260429_021627_102,astar,open_world,3,0.423,4.917,12.7278,1.64087
20260429_021627_102,astar,open_world,4,0.556,4.9166,12.7346,1.64087
20260429_021627_102,astar,open_world,5,0.691,4.9161,12.7415,1.64087
20260429_021627_102,astar,open_world,6,0.791,4.9158,12.7456,1.64087
20260429_021627_102,astar,open_world,7,0.923,4.9153,12.7524,1.64088
20260429_021628_132,astar,open_world,0,0.038,4.9148,12.7592,1.64095
20260429_021628_132,astar,open_world,1,0.174,4.9144,12.766,1.64088
20260429_021628_132,astar,open_world,2,0.278,4.914,12.7709,1.64088
20260429_021628_132,astar,open_world,3,0.405,4.9137,12.7757,1.64088
20260429_021628_132,astar,open_world,4,0.516,4.9134,12.7798,1.64088
20260429_021628_132,astar,open_world,5,0.655,4.9129,12.7866,1.6409
20260429_021628_132,astar,open_world,6,0.786,4.9124,12.7934,1.64119
20260429_021628_132,astar,open_world,7,0.914,4.912,12.8003,1.6409
20260429_021629_152,astar,open_world,0,0.018,4.9115,12.8071,1.6409
20260429_021629_152,astar,open_world,1,0.149,4.911,12.8139,1.6409
20260429_021629_152,astar,open_world,2,0.279,4.9105,12.8207,1.6409
20260429_021629_152,astar,open_world,3,0.408,4.91,12.8276,1.6409
20260429_021629_152,astar,open_world,4,0.53,4.9096,12.8344,1.64092
20260429_021629_152,astar,open_world,5,0.654,4.9091,12.8412,1.64128
20260429_021629_152,astar,open_world,6,0.784,4.9086,12.8481,1.64116
20260429_021629_152,astar,open_world,7,0.905,4.9081,12.8549,1.64093
20260429_021630_182,astar,open_world,0,0.001,4.9076,12.8618,1.64093
20260429_021630_182,astar,open_world,1,0.126,4.9072,12.8686,1.64093
20260429_021630_182,astar,open_world,2,0.259,4.9067,12.8754,1.64093
20260429_021630_182,astar,open_world,3,0.377,4.9062,12.8823,1.64093
20260429_021630_182,astar,open_world,4,0.498,4.9057,12.8891,1.64092
20260429_021630_182,astar,open_world,5,0.624,4.9052,12.8959,1.64093
20260429_021630_182,astar,open_world,6,0.925,4.9051,12.8986,1.64104
20260429_021631_203,astar,open_world,0,0.003,4.9049,12.9014,1.64131
20260429_021631_203,astar,open_world,1,0.116,4.9014,12.95,1.64095
20260429_021631_203,astar,open_world,2,0.235,4.9009,12.9573,1.64124
20260429_021631_203,astar,open_world,3,0.363,4.9004,12.9641,1.64114
20260429_021631_203,astar,open_world,4,0.496,4.8999,12.9709,1.64115
20260429_021631_203,astar,open_world,5,0.618,4.8995,12.9778,1.64114
20260429_021631_203,astar,open_world,6,0.74,4.899,12.9846,1.64115
20260429_021631_203,astar,open_world,7,0.864,4.8985,12.9914,1.64119
20260429_021631_203,astar,open_world,8,0.987,4.898,12.9983,1.64129
20260429_021632_232,astar,open_world,0,0.04,4.8977,13.0024,1.64118
20260429_021632_232,astar,open_world,1,0.168,4.8972,13.0092,1.64118
20260429_021632_232,astar,open_world,2,0.295,4.8968,13.0161,1.64118
20260429_021632_232,astar,open_world,3,0.414,4.8963,13.0229,1.64119
20260429_021632_232,astar,open_world,4,0.534,4.8958,13.0298,1.64118
20260429_021632_232,astar,open_world,5,0.662,4.8953,13.0369,1.64224
20260429_021632_232,astar,open_world,6,0.782,4.8948,13.0443,1.64298
20260429_021632_232,astar,open_world,7,0.907,4.8943,13.0511,1.64235
20260429_021633_252,astar,open_world,0,0.005,4.8938,13.0579,1.64221
20260429_021633_252,astar,open_world,1,0.135,4.8933,13.0647,1.64227
20260429_021633_252,astar,open_world,2,0.256,4.8928,13.0716,1.64222
20260429_021633_252,astar,open_world,3,0.377,4.8923,13.0784,1.64222
20260429_021633_252,astar,open_world,4,0.498,4.8918,13.0851,1.64222
20260429_021633_252,astar,open_world,5,0.621,4.8914,13.0909,1.64221
20260429_021633_252,astar,open_world,6,0.743,4.8912,13.0942,1.64221
20260429_021633_252,astar,open_world,7,0.868,4.8907,13.1006,1.64221
20260429_021633_252,astar,open_world,8,0.991,4.8903,13.1072,1.64221
20260429_021634_272,astar,open_world,0,0.016,4.8901,13.1099,1.64221
20260429_021634_272,astar,open_world,1,0.147,4.8896,13.1167,1.6422
20260429_021634_272,astar,open_world,2,0.271,4.8891,13.1234,1.64219
20260429_021634_272,astar,open_world,3,0.396,4.8886,13.1302,1.64219
20260429_021634_272,astar,open_world,4,0.518,4.8881,13.1371,1.64219
20260429_021634_272,astar,open_world,5,0.64,4.8876,13.1438,1.64218
20260429_021634_272,astar,open_world,6,0.766,4.8872,13.1506,1.6422
20260429_021634_272,astar,open_world,7,0.906,4.8867,13.1574,1.64217
20260429_021635_302,astar,open_world,0,0.002,4.8862,13.1642,1.64217
20260429_021635_302,astar,open_world,1,0.131,4.8857,13.171,1.64216
20260429_021635_302,astar,open_world,2,0.262,4.8852,13.1778,1.64216
20260429_021635_302,astar,open_world,3,0.389,4.8847,13.1846,1.64216
20260429_021635_302,astar,open_world,4,0.521,4.8842,13.1914,1.64215
20260429_021635_302,astar,open_world,5,0.645,4.8838,13.1981,1.64215
20260429_021635_302,astar,open_world,6,0.766,4.8833,13.2049,1.64215
20260429_021635_302,astar,open_world,7,0.894,4.8828,13.2118,1.64214
20260429_021636_331,astar,open_world,0,0.002,4.8823,13.2185,1.64214
20260429_021636_331,astar,open_world,1,0.123,4.8818,13.2253,1.64214
20260429_021636_331,astar,open_world,2,0.256,4.8813,13.2322,1.64214
20260429_021636_331,astar,open_world,3,0.391,4.8808,13.239,1.64213
20260429_021636_331,astar,open_world,4,0.52,4.8804,13.2458,1.64215
20260429_021636_331,astar,open_world,5,0.647,4.8799,13.2526,1.64213
20260429_021636_331,astar,open_world,6,0.773,4.8794,13.2594,1.64213
20260429_021636_331,astar,open_world,7,0.902,4.8789,13.2662,1.64212
20260429_021637_355,astar,open_world,0,0.007,4.8784,13.273,1.64212
20260429_021637_355,astar,open_world,1,0.131,4.8779,13.2798,1.64212
20260429_021637_355,astar,open_world,2,0.25,4.8774,13.2866,1.64212
20260429_021637_355,astar,open_world,3,0.369,4.8769,13.2934,1.64214
20260429_021637_355,astar,open_world,4,0.493,4.8765,13.3002,1.64211
20260429_021637_355,astar,open_world,5,0.613,4.876,13.307,1.64212
20260429_021637_355,astar,open_world,6,0.736,4.8755,13.3138,1.64212
20260429_021637_355,astar,open_world,7,0.863,4.875,13.3206,1.64211
20260429_021637_355,astar,open_world,8,0.99,4.8745,13.3274,1.64211
20260429_021638_372,astar,open_world,0,0.015,4.8744,13.3294,1.64211
20260429_021638_372,astar,open_world,1,0.138,4.8739,13.3363,1.64211
20260429_021638_372,astar,open_world,2,0.263,4.8734,13.3431,1.64211
20260429_021638_372,astar,open_world,3,0.39,4.8729,13.3499,1.64214
20260429_021638_372,astar,open_world,4,0.515,4.8724,13.3567,1.6421
20260429_021638_372,astar,open_world,5,0.64,4.8719,13.3635,1.64211
20260429_021638_372,astar,open_world,6,0.765,4.8715,13.3703,1.6421
20260429_021638_372,astar,open_world,7,0.894,4.871,13.3771,1.6421
20260429_021638_372,astar,open_world,8,1.015,4.8705,13.3839,1.6421
20260429_021639_402,astar,open_world,0,0.03,4.8703,13.386,1.6421
20260429_021639_402,astar,open_world,1,0.155,4.8698,13.3928,1.6421
20260429_021639_402,astar,open_world,2,0.273,4.8694,13.3997,1.64215
20260429_021639_402,astar,open_world,3,0.397,4.8688,13.4074,1.64389
20260429_021639_402,astar,open_world,4,0.518,4.8682,13.4158,1.64476
20260429_021639_402,astar,open_world,5,0.643,4.8677,13.4225,1.64402
20260429_021639_402,astar,open_world,6,0.763,4.8672,13.4292,1.64377
20260429_021639_402,astar,open_world,7,0.883,4.8667,13.4358,1.64372
20260429_021639_402,astar,open_world,8,1.006,4.8662,13.4425,1.64371
20260429_021640_432,astar,open_world,0,0.018,4.866,13.4452,1.6437
20260429_021640_432,astar,open_world,1,0.146,4.8655,13.4519,1.64368
20260429_021640_432,astar,open_world,2,0.267,4.865,13.4586,1.64366
20260429_021640_432,astar,open_world,3,0.39,4.8646,13.4653,1.64365
20260429_021640_432,astar,open_world,4,0.514,4.8641,13.472,1.64363
20260429_021640_432,astar,open_world,5,0.634,4.8636,13.4787,1.64361
20260429_021640_432,astar,open_world,6,0.759,4.8631,13.4854,1.6436
20260429_021640_432,astar,open_world,7,0.894,4.8626,13.4921,1.64357
20260429_021640_432,astar,open_world,8,1.016,4.8621,13.4988,1.64356
20260429_021641_452,astar,open_world,0,0.038,4.862,13.5008,1.64356
20260429_021641_452,astar,open_world,1,0.158,4.8615,13.5075,1.64355
20260429_021641_452,astar,open_world,2,0.283,4.861,13.5142,1.64353
20260429_021641_452,astar,open_world,3,0.408,4.8605,13.5209,1.64351
20260429_021641_452,astar,open_world,4,0.529,4.86,13.5277,1.6435
20260429_021641_452,astar,open_world,5,0.647,4.8595,13.5344,1.64349
20260429_021641_452,astar,open_world,6,0.772,4.859,13.5411,1.64348
20260429_021641_452,astar,open_world,7,0.897,4.8585,13.5479,1.64346
20260429_021642_481,astar,open_world,0,0.043,4.8579,13.5566,1.64346
20260429_021642_481,astar,open_world,1,0.168,4.8574,13.5634,1.64345
20260429_021642_481,astar,open_world,2,0.291,4.8569,13.5701,1.64344
20260429_021642_481,astar,open_world,3,0.412,4.8564,13.5768,1.64342
20260429_021642_481,astar,open_world,4,0.536,4.8559,13.5836,1.64342
20260429_021642_481,astar,open_world,5,0.659,4.8554,13.5903,1.64341
20260429_021642_481,astar,open_world,6,0.782,4.855,13.5967,1.6434
20260429_021642_481,astar,open_world,7,0.902,4.8545,13.6034,1.6434
20260429_021642_481,astar,open_world,8,1.026,4.854,13.6098,1.64339
20260429_021643_511,astar,open_world,0,0.038,4.8539,13.6121,1.64339
20260429_021643_511,astar,open_world,1,0.163,4.8534,13.6188,1.64339
20260429_021643_511,astar,open_world,2,0.285,4.8529,13.6256,1.64338
20260429_021643_511,astar,open_world,3,0.408,4.8524,13.6323,1.64337
20260429_021643_511,astar,open_world,4,0.535,4.8519,13.6391,1.64337
20260429_021643_511,astar,open_world,5,0.661,4.8514,13.6458,1.64337
20260429_021643_511,astar,open_world,6,0.781,4.8509,13.6526,1.64336
20260429_021643_511,astar,open_world,7,0.908,4.8504,13.6594,1.64335
20260429_021644_542,astar,open_world,0,0.004,4.8499,13.6661,1.64335
20260429_021644_542,astar,open_world,1,0.128,4.8494,13.6729,1.64335
20260429_021644_542,astar,open_world,2,0.254,4.849,13.6797,1.64334
20260429_021644_542,astar,open_world,3,0.387,4.8485,13.6865,1.64333
20260429_021644_542,astar,open_world,4,0.507,4.848,13.6932,1.64333
20260429_021644_542,astar,open_world,5,0.641,4.8475,13.7,1.64333
20260429_021644_542,astar,open_world,6,0.767,4.847,13.7068,1.64333
20260429_021644_542,astar,open_world,7,0.89,4.8465,13.7136,1.64333
20260429_021644_542,astar,open_world,8,1.018,4.846,13.7203,1.64333
20260429_021645_563,astar,open_world,0,0.037,4.8458,13.7224,1.64333
20260429_021645_563,astar,open_world,1,0.161,4.8454,13.7292,1.64332
20260429_021645_563,astar,open_world,2,0.285,4.8449,13.7359,1.64331
20260429_021645_563,astar,open_world,3,0.411,4.8444,13.7427,1.64331
20260429_021645_563,astar,open_world,4,0.534,4.8439,13.7495,1.64331
20260429_021645_563,astar,open_world,5,0.658,4.8434,13.7563,1.64331
20260429_021645_563,astar,open_world,6,0.792,4.8429,13.7631,1.64331
20260429_021645_563,astar,open_world,7,0.893,4.8425,13.7678,1.64331
20260429_021645_563,astar,open_world,8,1.027,4.8421,13.7746,1.64331
20260429_021646_592,astar,open_world,0,0.04,4.8419,13.7766,1.64331
20260429_021646_592,astar,open_world,1,0.165,4.8414,13.7834,1.6433
20260429_021646_592,astar,open_world,2,0.289,4.8409,13.7902,1.6433
20260429_021646_592,astar,open_world,3,0.411,4.8404,13.797,1.6433
20260429_021646_592,astar,open_world,4,0.531,4.8399,13.8038,1.6433
20260429_021646_592,astar,open_world,5,0.655,4.8394,13.8105,1.64329
20260429_021646_592,astar,open_world,6,0.775,4.839,13.8173,1.64329
20260429_021646_592,astar,open_world,7,0.888,4.8386,13.822,1.64329
20260429_021646_592,astar,open_world,8,1.022,4.8381,13.8288,1.64329
20260429_021647_621,astar,open_world,0,0.034,4.838,13.8309,1.64329
20260429_021647_621,astar,open_world,1,0.158,4.8375,13.8376,1.64329
20260429_021647_621,astar,open_world,2,0.288,4.837,13.8445,1.64329
20260429_021647_621,astar,open_world,3,0.424,4.8365,13.8512,1.64329
20260429_021647_621,astar,open_world,4,0.565,4.836,13.858,1.64329
20260429_021647_621,astar,open_world,5,0.69,4.8355,13.8648,1.64329
20260429_021647_621,astar,open_world,6,0.814,4.835,13.8716,1.64329
20260429_021647_621,astar,open_world,7,0.939,4.8345,13.8784,1.64332
20260429_021648_651,astar,open_world,0,0.031,4.834,13.8852,1.64329
20260429_021648_651,astar,open_world,1,0.152,4.8335,13.892,1.64329
20260429_021648_651,astar,open_world,2,0.277,4.833,13.8988,1.64328
20260429_021648_651,astar,open_world,3,0.398,4.8325,13.9055,1.64328
20260429_021648_651,astar,open_world,4,0.523,4.8321,13.9123,1.64328
20260429_021648_651,astar,open_world,5,0.644,4.8316,13.9191,1.64328
20260429_021648_651,astar,open_world,6,0.766,4.8311,13.9259,1.64328
20260429_021648_651,astar,open_world,7,0.885,4.8306,13.9327,1.64328
20260429_021648_651,astar,open_world,8,1.007,4.8301,13.9395,1.64327
20260429_021649_681,astar,open_world,0,0.017,4.8299,13.9415,1.64327
20260429_021649_681,astar,open_world,1,0.149,4.8294,13.9483,1.64328
20260429_021649_681,astar,open_world,2,0.267,4.8289,13.9551,1.64328
20260429_021649_681,astar,open_world,3,0.383,4.8285,13.9619,1.64328
20260429_021649_681,astar,open_world,4,0.518,4.828,13.9687,1.64327
20260429_021649_681,astar,open_world,5,0.646,4.8275,13.9754,1.64328
20260429_021649_681,astar,open_world,6,0.768,4.827,13.9823,1.64328
20260429_021649_681,astar,open_world,7,0.893,4.8265,13.9891,1.64328
20260429_021649_681,astar,open_world,8,1.017,4.826,13.9958,1.64328
20260429_021650_712,astar,open_world,0,0.029,4.8258,13.9986,1.64328
20260429_021650_712,astar,open_world,1,0.155,4.8253,14.0054,1.64328
20260429_021650_712,astar,open_world,2,0.275,4.8248,14.0122,1.64328
20260429_021650_712,astar,open_world,3,0.396,4.8243,14.0189,1.64328
20260429_021650_712,astar,open_world,4,0.516,4.8238,14.0257,1.64327
20260429_021650_712,astar,open_world,5,0.633,4.8233,14.0325,1.64328
20260429_021650_712,astar,open_world,6,0.757,4.8228,14.0393,1.64328
20260429_021650_712,astar,open_world,7,0.885,4.8223,14.0461,1.64328
20260429_021650_712,astar,open_world,8,1.013,4.8218,14.0529,1.64328
20260429_021651_742,astar,open_world,0,0.032,4.8217,14.0549,1.64328
20260429_021651_742,astar,open_world,1,0.154,4.8212,14.0619,1.64374
20260429_021651_742,astar,open_world,2,0.275,4.8205,14.0714,1.6408
20260429_021651_742,astar,open_world,3,0.393,4.8198,14.0817,1.63592
20260429_021651_742,astar,open_world,4,0.513,4.8192,14.0916,1.63059
20260429_021651_742,astar,open_world,5,0.637,4.8186,14.1013,1.62528
20260429_021651_742,astar,open_world,6,0.758,4.8181,14.111,1.62147
20260429_021651_742,astar,open_world,7,0.881,4.8176,14.1205,1.62072
20260429_021651_742,astar,open_world,8,1.002,4.8172,14.1296,1.62071
20260429_021652_761,astar,open_world,0,0.026,4.8171,14.1323,1.62071
20260429_021652_761,astar,open_world,1,0.148,4.8166,14.141,1.62071
20260429_021652_761,astar,open_world,2,0.275,4.8162,14.1496,1.62071
20260429_021652_761,astar,open_world,3,0.401,4.8158,14.1582,1.62074
20260429_021652_761,astar,open_world,4,0.523,4.8153,14.1666,1.62082
20260429_021652_761,astar,open_world,5,0.641,4.8149,14.1749,1.6209
20260429_021652_761,astar,open_world,6,0.763,4.8145,14.1831,1.62101
20260429_021652_761,astar,open_world,7,0.881,4.8141,14.1913,1.62113
20260429_021652_761,astar,open_world,8,1.004,4.8137,14.1993,1.6214
20260429_021653_792,astar,open_world,0,0.015,4.8135,14.2025,1.62162
20260429_021653_792,astar,open_world,1,0.136,4.8131,14.2104,1.62217
20260429_021653_792,astar,open_world,2,0.255,4.8127,14.2182,1.62273
20260429_021653_792,astar,open_world,3,0.379,4.8123,14.226,1.62331
20260429_021653_792,astar,open_world,4,0.495,4.8119,14.2337,1.6239
20260429_021653_792,astar,open_world,5,0.612,4.8115,14.2413,1.62451
20260429_021653_792,astar,open_world,6,0.732,4.8111,14.2488,1.62514
20260429_021653_792,astar,open_world,7,0.851,4.8107,14.2563,1.62578
20260429_021653_792,astar,open_world,8,0.976,4.8103,14.2638,1.62644
20260429_021654_821,astar,open_world,0,0.028,4.81,14.2682,1.62684
20260429_021654_821,astar,open_world,1,0.15,4.8096,14.2756,1.62753
20260429_021654_821,astar,open_world,2,0.273,4.8092,14.2829,1.62824
20260429_021654_821,astar,open_world,3,0.4,4.8088,14.2901,1.62896
20260429_021654_821,astar,open_world,4,0.52,4.8084,14.2974,1.62973
20260429_021654_821,astar,open_world,5,0.642,4.8079,14.3046,1.63149
20260429_021654_821,astar,open_world,6,0.755,4.8075,14.3117,1.62695
20260429_021714_910,astar,open_world,0,0.026,4.807,14.3222,1.61786
20260429_021714_910,astar,open_world,1,0.148,4.807,14.3222,1.60944
20260429_021714_910,astar,open_world,2,0.274,4.807,14.3222,1.59126
20260429_021714_910,astar,open_world,3,0.396,4.807,14.3222,1.56295
20260429_021714_910,astar,open_world,4,0.525,4.807,14.3222,1.54232
20260429_021714_910,astar,open_world,5,0.645,4.807,14.3222,1.53556
20260429_021714_910,astar,open_world,6,0.765,4.807,14.3222,1.52568
20260429_021714_910,astar,open_world,7,0.887,4.807,14.3222,1.50688
20260429_021715_920,astar,open_world,0,0.001,4.807,14.3222,1.47399
